Map,Variant,Feature,Dialect Group,nPMI,Exclusivity,Representativeness
*-t_one,t,*-t_one_t,Guangfu,-0.029,0.347,0.892
*i_skin1,i,*i_skin1_i,Guangfu,-0.029,0.333,0.297
*-n_to see_lit,n,*-n_to see_lit_n,Guangfu,-0.029,0.355,0.892
*-t_lice,t,*-t_lice_t,Guangfu,-0.03,0.344,0.892
*-t_sun,t,*-t_sun_t,Guangfu,-0.03,0.344,0.892
*-t_hot,t,*-t_hot_t,Guangfu,-0.032,0.343,0.919
*-n_boat,n,*-n_boat_n,Guangfu,-0.033,0.343,0.946
ɵ_out,ɐ,ɵ_out_ɐ,Guangfu,-0.036,0.339,0.541
stone_m,0,stone_m_0,Guangfu,-0.036,0.338,0.676
*-t_seven,t,*-t_seven_t,Guangfu,-0.038,0.34,0.865
*-n_tomb,n,*-n_tomb_n,Guangfu,-0.038,0.347,0.892
*-t_blood,t,*-t_blood_t,Guangfu,-0.04,0.34,0.919
ɐ_black,ɐ,ɐ_black_ɐ,Guangfu,-0.041,0.333,0.568
w_cloud,v,w_cloud_v,Guangfu,-0.041,0.318,0.189
ɵ_spring,ɐ,ɵ_spring_ɐ,Guangfu,-0.041,0.333,0.568
*-t_eight,t,*-t_eight_t,Guangfu,-0.043,0.337,0.811
*-n_eye,n,*-n_eye_n,Guangfu,-0.043,0.337,0.811
*-n_mountain,n,*-n_mountain_n,Guangfu,-0.043,0.337,0.811
*0_love,0,*0_love_0,Guangfu,-0.047,0.34,0.892
*m_full,mb,*m_full_mb,Guangfu,-0.048,0.3,0.081
*m_tail,mb,*m_tail_mb,Guangfu,-0.048,0.3,0.081
*n_you,nd,*n_you_nd,Guangfu,-0.048,0.3,0.081
*ɿ_history,ɐi,*ɿ_history_ɐi,Guangfu,-0.049,0.316,0.162
*-n_all,n,*-n_all_n,Guangfu,-0.05,0.337,0.919
*-n_smoke,n,*-n_smoke_n,Guangfu,-0.05,0.337,0.919
*-n_village,n,*-n_village_n,Guangfu,-0.05,0.337,0.919
*k_leg,k,*k_leg_k,Guangfu,-0.054,0.333,0.838
ɔ_dry,o,ɔ_dry_o,Guangfu,-0.055,0.286,0.054
*ɲ_ear,ŋg,*ɲ_ear_ŋg,Guangfu,-0.055,0.286,0.054
*ɲ_fish,ŋg,*ɲ_fish_ŋg,Guangfu,-0.055,0.286,0.054
*i_four,əi,*i_four_əi,Guangfu,-0.055,0.286,0.054
ou_hair_body,əu,ou_hair_body_əu,Guangfu,-0.055,0.286,0.054
a_hair_head,a,a_hair_head_a,Guangfu,-0.055,0.333,0.865
*i_skin1,əi,*i_skin1_əi,Guangfu,-0.055,0.286,0.054
*i_strange,ɐi,*i_strange_ɐi,Guangfu,-0.055,0.286,0.054
*i_tail,i,*i_tail_i,Guangfu,-0.055,0.312,0.27
*ɲ_two,ŋg,*ɲ_two_ŋg,Guangfu,-0.055,0.286,0.054
*0_duck,0,*0_duck_0,Guangfu,-0.057,0.333,0.892
to sit_m,u,to sit_m_u,Guangfu,-0.058,0.286,0.054
*u_abdomen,u,*u_abdomen_u,Guangfu,-0.06,0.317,0.351
h_to see_lit,h,h_to see_lit_h,Guangfu,-0.064,0.34,0.865
*-n_to see_col,n,*-n_to see_col_n,Guangfu,-0.065,0.33,0.892
*n_woman,n,*n_woman_n,Guangfu,-0.066,0.325,0.73
*n_bird_lit,n,*n_bird_lit_n,Guangfu,-0.067,0.329,0.622
*u_road,u,*u_road_u,Guangfu,-0.067,0.31,0.351
*u_soil_earth,u,*u_soil_earth_u,Guangfu,-0.067,0.31,0.351
*n_you,n,*n_you_n,Guangfu,-0.074,0.321,0.703
œ_bird_col,ɐ,œ_bird_col_ɐ,Guangfu,-0.076,0.25,0.027
*-m_blue,n,*-m_blue_n,Guangfu,-0.076,0.25,0.027
*-p_duck,t,*-p_duck_t,Guangfu,-0.076,0.25,0.027
*i_ear,ei,*i_ear_ei,Guangfu,-0.076,0.25,0.027
ɐ_enter,i,ɐ_enter_i,Guangfu,-0.076,0.25,0.027
*h_fire,w,*h_fire_w,Guangfu,-0.076,0.25,0.027
*-m_man,n,*-m_man_n,Guangfu,-0.076,0.25,0.027
*u_road,ɔu,*u_road_ɔu,Guangfu,-0.076,0.25,0.027
s_snake,ʦ,s_snake_ʦ,Guangfu,-0.076,0.25,0.027
*u_soil_earth,ɔu,*u_soil_earth_ɔu,Guangfu,-0.076,0.25,0.027
*-k_stone,ʔ,*-k_stone_ʔ,Guangfu,-0.076,0.25,0.027
ɐ_sun,i,ɐ_sun_i,Guangfu,-0.076,0.25,0.027
ɐ_ten,ɔ,ɐ_ten_ɔ,Guangfu,-0.076,0.25,0.027
*-m_three,n,*-m_three_n,Guangfu,-0.076,0.25,0.027
ui_to sleep,u,ui_to sleep_u,Guangfu,-0.076,0.25,0.027
i_two,ei,i_two_ei,Guangfu,-0.076,0.25,0.027
ɵ_out,u,ɵ_out_u,Guangfu,-0.078,0.25,0.027
s_water,ʃ,s_water_ʃ,Guangfu,-0.078,0.25,0.027
s_history,θ,s_history_θ,Guangfu,-0.08,0.25,0.027
to eat_n,ɛ,to eat_n_ɛ,Guangfu,-0.085,0.278,0.135
*i_tail,əi,*i_tail_əi,Guangfu,-0.089,0.25,0.054
*ɿ_to die,əi,*ɿ_to die_əi,Guangfu,-0.089,0.25,0.054
*i_you,əi,*i_you_əi,Guangfu,-0.089,0.25,0.054
j_leaf,h,j_leaf_h,Guangfu,-0.092,0.267,0.108
*i_you,ɐi,*i_you_ɐi,Guangfu,-0.1,0.25,0.081
*i_floor/ground,i,*i_floor/ground_i,Guangfu,-0.103,0.286,0.27
a_eight,a,a_eight_a,Guangfu,-0.107,0.303,0.622
*-p_leaf,t,*-p_leaf_t,Guangfu,-0.112,0.25,0.108
i_to see_col,ɛ,i_to see_col_ɛ,Guangfu,-0.119,0.222,0.054
*n_woman,nd,*n_woman_nd,Guangfu,-0.119,0.222,0.054
ɔi_love,ui,ɔi_love_ui,Guangfu,-0.122,0.222,0.054
*-k_to eat,t,*-k_to eat_t,Guangfu,-0.122,0.231,0.081
i_to fly,ɐi,i_to fly_ɐi,Guangfu,-0.122,0.231,0.081
*-t_bone,ʔ,*-t_bone_ʔ,Guangfu,-0.124,0.2,0.027
*ɲ_enter,z,*ɲ_enter_z,Guangfu,-0.124,0.2,0.027
j_feather,z,j_feather_z,Guangfu,-0.124,0.2,0.027
ɐu_head,ou,ɐu_head_ou,Guangfu,-0.124,0.2,0.027
*ɲ_hot,ŋ,*ɲ_hot_ŋ,Guangfu,-0.124,0.2,0.027
*-t_knee,ʔ,*-t_knee_ʔ,Guangfu,-0.124,0.2,0.027
*-t_lice,ʔ,*-t_lice_ʔ,Guangfu,-0.124,0.2,0.027
ɔ_liver,o,ɔ_liver_o,Guangfu,-0.124,0.2,0.027
*-t_out,ʔ,*-t_out_ʔ,Guangfu,-0.124,0.2,0.027
j_rain,z,j_rain_z,Guangfu,-0.124,0.2,0.027
j_smoke,z,j_smoke_z,Guangfu,-0.124,0.2,0.027
*-t_sun,ʔ,*-t_sun_ʔ,Guangfu,-0.124,0.2,0.027
a_eye,a,a_eye_a,Guangfu,-0.125,0.296,0.649
j_leaf,z,j_leaf_z,Guangfu,-0.126,0.2,0.027
j_night,z,j_night_z,Guangfu,-0.126,0.2,0.027
j_one,z,j_one_z,Guangfu,-0.126,0.2,0.027
*-t_one,ʔ,*-t_one_ʔ,Guangfu,-0.126,0.2,0.027
j_round,z,j_round_z,Guangfu,-0.126,0.2,0.027
ɔ_to sit,ɛ,ɔ_to sit_ɛ,Guangfu,-0.126,0.2,0.027
j_to swim,z,j_to swim_z,Guangfu,-0.126,0.2,0.027
ui_water,œ,ui_water_œ,Guangfu,-0.126,0.2,0.027
*ɿ_history,ɿ,*ɿ_history_ɿ,Guangfu,-0.129,0.2,0.027
œ_to think,ɐ,œ_to think_ɐ,Guangfu,-0.129,0.2,0.027
*ɣ_lake,v,*ɣ_lake_v,Guangfu,-0.143,0.214,0.081
*u_soil_earth,əu,*u_soil_earth_əu,Guangfu,-0.146,0.2,0.054
*ɿ_to die,ɐi,*ɿ_to die_ɐi,Guangfu,-0.146,0.2,0.054
*h_flower,w,*h_flower_w,Guangfu,-0.148,0.227,0.135
*ts_bird_col,ʦʰ,*ts_bird_col_ʦʰ,Guangfu,-0.151,0.25,0.27
ɐ_together/to merge,a,ɐ_together/to merge_a,Guangfu,-0.156,0.233,0.189
ou_good,au,ou_good_au,Guangfu,-0.162,0.2,0.081
ou_hair_body,au,ou_hair_body_au,Guangfu,-0.162,0.2,0.081
*-k_black,ʔ,*-k_black_ʔ,Guangfu,-0.163,0.167,0.027
ɐu_cow,ou,ɐu_cow_ou,Guangfu,-0.163,0.167,0.027
u_full,ɔ,u_full_ɔ,Guangfu,-0.163,0.167,0.027
ou_hair_body,ɔu,ou_hair_body_ɔu,Guangfu,-0.163,0.167,0.027
ɐu_hand,ou,ɐu_hand_ou,Guangfu,-0.163,0.167,0.027
*ɲ_hot,ŋg,*ɲ_hot_ŋg,Guangfu,-0.163,0.167,0.027
œ_leg,ɐ,œ_leg_ɐ,Guangfu,-0.163,0.167,0.027
many_m,u,many_m_u,Guangfu,-0.163,0.167,0.027
*ɲ_moon,ŋg,*ɲ_moon_ŋg,Guangfu,-0.163,0.167,0.027
a_mountain ,ɛ,a_mountain _ɛ,Guangfu,-0.163,0.167,0.027
*-t_seven,ʔ,*-t_seven_ʔ,Guangfu,-0.163,0.167,0.027
a_to kill,ɛ,a_to kill_ɛ,Guangfu,-0.163,0.167,0.027
ui_to sleep,œ,ui_to sleep_œ,Guangfu,-0.163,0.167,0.027
*y_woman,u,*y_woman_u,Guangfu,-0.163,0.167,0.027
ɐ_north,a,ɐ_north_a,Guangfu,-0.165,0.211,0.108
s_teacher,ɬ,s_teacher_ɬ,Guangfu,-0.166,0.2,0.081
*u_road,əu,*u_road_əu,Guangfu,-0.17,0.182,0.054
ɔ_to see_lit,o,ɔ_to see_lit_o,Guangfu,-0.171,0.167,0.027
*u_abdomen,əu,*u_abdomen_əu,Guangfu,-0.173,0.182,0.054
ɔ_dry,a,ɔ_dry_a,Guangfu,-0.192,0.167,0.054
y_village,i,y_village_i,Guangfu,-0.192,0.167,0.054
ɔ_to sit,œ,ɔ_to sit_œ,Guangfu,-0.195,0.167,0.054
au_claws,ɛu,au_claws_ɛu,Guangfu,-0.196,0.143,0.027
ɐ_cloud,ə,ɐ_cloud_ə,Guangfu,-0.196,0.143,0.027
ou_good,ɔu,ou_good_ɔu,Guangfu,-0.196,0.143,0.027
*ɐ_root,a,*ɐ_root_a,Guangfu,-0.196,0.143,0.027
s_small_lit,θ,s_small_lit_θ,Guangfu,-0.196,0.143,0.027
s_three,θ,s_three_θ,Guangfu,-0.196,0.143,0.027
ui_to sleep,ɔi,ui_to sleep_ɔi,Guangfu,-0.196,0.143,0.027
s_to think,θ,s_to think_θ,Guangfu,-0.196,0.143,0.027
y_village,ɔ,y_village_ɔ,Guangfu,-0.196,0.143,0.027
*-k_white,ʔ,*-k_white_ʔ,Guangfu,-0.196,0.143,0.027
*-k_north,ʔ,*-k_north_ʔ,Guangfu,-0.199,0.143,0.027
*ɣ_lake,h,*ɣ_lake_h,Guangfu,-0.206,0.182,0.108
snake_m,i,snake_m_i,Guangfu,-0.206,0.182,0.108
œ_double,ɔ,œ_double_ɔ,Guangfu,-0.207,0.22,0.243
fire_m,u,fire_m_u,Guangfu,-0.212,0.154,0.054
ɐu_head,au,ɐu_head_au,Guangfu,-0.212,0.154,0.054
j_rain,h,j_rain_h,Guangfu,-0.22,0.174,0.108
*ŋ_cow,ŋg,*ŋ_cow_ŋg,Guangfu,-0.225,0.125,0.027
*ŋ_eye,ŋg,*ŋ_eye_ŋg,Guangfu,-0.225,0.125,0.027
s_four,θ,s_four_θ,Guangfu,-0.225,0.125,0.027
*m_hair_body,mb,*m_hair_body_mb,Guangfu,-0.225,0.125,0.027
s_heart,θ,s_heart_θ,Guangfu,-0.225,0.125,0.027
*m_horse,mb,*m_horse_mb,Guangfu,-0.225,0.125,0.027
*ŋ_I,ŋg,*ŋ_I_ŋg,Guangfu,-0.225,0.125,0.027
*n_man,nd,*n_man_nd,Guangfu,-0.225,0.125,0.027
s_new,θ,s_new_θ,Guangfu,-0.225,0.125,0.027
ɐ_seven,a,ɐ_seven_a,Guangfu,-0.225,0.125,0.027
*ŋ_to bite,ŋg,*ŋ_to bite_ŋg,Guangfu,-0.225,0.125,0.027
s_to die,θ,s_to die_θ,Guangfu,-0.225,0.125,0.027
*ŋ_tooth1,ŋg,*ŋ_tooth1_ŋg,Guangfu,-0.225,0.125,0.027
s_west,θ,s_west_θ,Guangfu,-0.225,0.125,0.027
ɐ_knee,a,ɐ_knee_a,Guangfu,-0.228,0.125,0.027
j_round,w,j_round_w,Guangfu,-0.228,0.125,0.027
s_small_col,θ,s_small_col_θ,Guangfu,-0.228,0.125,0.027
ɐu_to swim,au,ɐu_to swim_au,Guangfu,-0.228,0.125,0.027
ui_to sleep,ui,ui_to sleep_ui,Guangfu,-0.243,0.211,0.324
*h_ash,h,*h_ash_h,Guangfu,-0.244,0.15,0.081
ɔ_light,o,ɔ_light_o,Guangfu,-0.248,0.133,0.054
*dz_all,tʰ,*dz_all_tʰ,Guangfu,-0.251,0.111,0.027
*ts_bird_col,t,*ts_bird_col_t,Guangfu,-0.251,0.111,0.027
*-u-_bone,0,*-u-_bone_0,Guangfu,-0.251,0.111,0.027
ɐu_hand,au,ɐu_hand_au,Guangfu,-0.251,0.111,0.027
I_m,u,I_m_u,Guangfu,-0.251,0.111,0.027
*-k_stone,t,*-k_stone_t,Guangfu,-0.251,0.111,0.027
ɐu_autumn,au,ɐu_autumn_au,Guangfu,-0.253,0.111,0.027
ɐu_nine,au,ɐu_nine_au,Guangfu,-0.253,0.111,0.027
*d_to sit,tʰ,*d_to sit_tʰ,Guangfu,-0.253,0.111,0.027
ui_water,ui,ui_water_ui,Guangfu,-0.268,0.206,0.351
ui_ash,ɔi,ui_ash_ɔi,Guangfu,-0.273,0.1,0.027
ɔ_dry,œ,ɔ_dry_œ,Guangfu,-0.273,0.1,0.027
ɔ_liver,œ,ɔ_liver_œ,Guangfu,-0.273,0.1,0.027
*ɣ_yellow,ʋ,*ɣ_yellow_ʋ,Guangfu,-0.273,0.1,0.027
ɐu_cow,au,ɐu_cow_au,Guangfu,-0.294,0.091,0.027
ɛ_snake,a,ɛ_snake_a,Guangfu,-0.294,0.091,0.027
j_feather,h,j_feather_h,Guangfu,-0.295,0.111,0.054
ɔi_love,ai,ɔi_love_ai,Guangfu,-0.296,0.091,0.027
ɔ_to see_lit,œ,ɔ_to see_lit_œ,Guangfu,-0.302,0.091,0.027
y_pig,i,y_pig_i,Guangfu,-0.307,0.12,0.081
y_tool,ui,y_tool_ui,Guangfu,-0.307,0.12,0.081
*ŋ_five,ŋ,*ŋ_five_ŋ,Guangfu,-0.308,0.105,0.054
ɛ_night,a,ɛ_night_a,Guangfu,-0.31,0.12,0.081
w_cloud,ʋ,w_cloud_ʋ,Guangfu,-0.313,0.083,0.027
ɐu_mouth,au,ɐu_mouth_au,Guangfu,-0.315,0.083,0.027
y_round,i,y_round_i,Guangfu,-0.315,0.129,0.108
y_fish,i,y_fish_i,Guangfu,-0.321,0.1,0.054
s_small_col,ɬ,s_small_col_ɬ,Guangfu,-0.327,0.149,0.189
ɐu_dog,au,ɐu_dog_au,Guangfu,-0.33,0.077,0.027
liver_m,u,liver_m_u,Guangfu,-0.33,0.077,0.027
s_three,ɬ,s_three_ɬ,Guangfu,-0.331,0.146,0.189
s_four,ɬ,s_four_ɬ,Guangfu,-0.338,0.143,0.189
s_heart,ɬ,s_heart_ɬ,Guangfu,-0.338,0.143,0.189
y_moon,i,y_moon_i,Guangfu,-0.338,0.107,0.081
s_new,ɬ,s_new_ɬ,Guangfu,-0.338,0.143,0.189
s_small_lit,ɬ,s_small_lit_ɬ,Guangfu,-0.338,0.143,0.189
s_to die,ɬ,s_to die_ɬ,Guangfu,-0.338,0.143,0.189
to see_lit_m,u,to see_lit_m_u,Guangfu,-0.338,0.077,0.027
s_to think,ɬ,s_to think_ɬ,Guangfu,-0.338,0.143,0.189
s_west,ɬ,s_west_ɬ,Guangfu,-0.338,0.143,0.189
ɐu_to walk,au,ɐu_to walk_au,Guangfu,-0.346,0.071,0.027
*ɣ_yellow,h,*ɣ_yellow_h,Guangfu,-0.346,0.071,0.027
y_all,i,y_all_i,Guangfu,-0.348,0.103,0.081
y_boat,i,y_boat_i,Guangfu,-0.348,0.103,0.081
s_knee,ɬ,s_knee_ɬ,Guangfu,-0.352,0.13,0.162
dry_m,u,dry_m_u,Guangfu,-0.361,0.067,0.027
y_to go,ui,y_to go_ui,Guangfu,-0.362,0.1,0.081
*d_abdomen,t,*d_abdomen_t,Guangfu,-0.364,0.128,0.162
y_mouse/rat,i,y_mouse/rat_i,Guangfu,-0.371,0.083,0.054
stone_n,ɪ,stone_n_ɪ,Guangfu,-0.371,0.097,0.081
ɔ_yellow,o,ɔ_yellow_o,Guangfu,-0.374,0.062,0.027
y_blood,i,y_blood_i,Guangfu,-0.376,0.094,0.081
y_tree,i,y_tree_i,Guangfu,-0.381,0.08,0.054
a_white,ɛ,a_white_ɛ,Guangfu,-0.39,0.059,0.027
*y_woman,ui,*y_woman_ui,Guangfu,-0.406,0.071,0.054
*d_head,t,*d_head_t,Guangfu,-0.409,0.083,0.081
bird_col_m,i,bird_col_m_i,Guangfu,-0.419,0.091,0.108
tsʰ_seven,tʰ,tsʰ_seven_tʰ,Guangfu,-0.423,0.05,0.027
*h_tiger,h,*h_tiger_h,Guangfu,-0.423,0.05,0.027
long_m,i,long_m_i,Guangfu,-0.426,0.089,0.108
to think_m,i,to think_m_i,Guangfu,-0.426,0.089,0.108
*ɲ_enter,ɲ,*ɲ_enter_ɲ,Guangfu,-0.439,0.075,0.081
leg_m,i,leg_m_i,Guangfu,-0.439,0.085,0.108
*ɲ_to drink,ɲ,*ɲ_to drink_ɲ,Guangfu,-0.439,0.075,0.081
*d_to sit,ʦ,*d_to sit_ʦ,Guangfu,-0.446,0.045,0.027
y_rain,i,y_rain_i,Guangfu,-0.462,0.042,0.027
*ɲ_hot,ɲ,*ɲ_hot_ɲ,Guangfu,-0.464,0.078,0.108
*ɲ_moon,ɲ,*ɲ_moon_ɲ,Guangfu,-0.472,0.067,0.081
*ɲ_two,ɲ,*ɲ_two_ɲ,Guangfu,-0.476,0.075,0.108
*ɲ_ear,ɲ,*ɲ_ear_ɲ,Guangfu,-0.485,0.064,0.081
*ɲ_fish,ɲ,*ɲ_fish_ɲ,Guangfu,-0.502,0.06,0.081
*ɲ_person,ɲ,*ɲ_person_ɲ,Guangfu,-0.513,0.058,0.081
*ɲ_sun,ɲ,*ɲ_sun_ɲ,Guangfu,-0.513,0.058,0.081
*kʰ_to stand,k,*kʰ_to stand_k,Guangfu,-0.513,0.033,0.027
y_feather,i,y_feather_i,Guangfu,-0.517,0.032,0.027
*ɲ_meat,ɲ,*ɲ_meat_ɲ,Guangfu,-0.563,0.038,0.054
