Map,Variant,Feature,Dialect Group,nPMI,Exclusivity,Representativeness
*i_you,i,*i_you_i,Guangfu,0.064,0.406,0.351
s_water,s,s_water_s,Guangfu,0.061,0.383,0.973
j_leaf,j,j_leaf_j,Guangfu,0.06,0.386,0.865
ai_big,ai,ai_big_ai,Guangfu,0.059,0.379,0.973
*d_floor/ground,t,*d_floor/ground_t,Guangfu,0.059,0.385,1
I_m,0,I_m_0,Guangfu,0.059,0.379,0.973
s_stone,s,s_stone_s,Guangfu,0.059,0.379,0.973
breast_m,0,breast_m_0,Guangfu,0.058,0.378,1
*ŋ_five,ŋ̩,*ŋ_five_ŋ̩,Guangfu,0.058,0.387,0.649
s_sand,s,s_sand_s,Guangfu,0.058,0.378,1
iu_small_lit,iu,iu_small_lit_iu,Guangfu,0.058,0.378,1
*k_to speak_col,k,*k_to speak_col_k,Guangfu,0.058,0.378,1
*ɿ_teacher,i,*ɿ_teacher_i,Guangfu,0.055,0.39,0.622
au_claws,au,au_claws_au,Guangfu,0.054,0.378,0.919
stone_m,i,stone_m_i,Guangfu,0.054,0.4,0.324
*-n_cloud,ŋ,*-n_cloud_ŋ,Guangfu,0.053,0.429,0.081
*-n_dry,ŋ,*-n_dry_ŋ,Guangfu,0.053,0.429,0.081
*-n_liver,ŋ,*-n_liver_ŋ,Guangfu,0.053,0.429,0.081
*-n_new,ŋ,*-n_new_ŋ,Guangfu,0.053,0.429,0.081
*-n_person,ŋ,*-n_person_ŋ,Guangfu,0.053,0.429,0.081
*d_big,t,*d_big_t,Guangfu,0.052,0.376,0.946
i_hot,i,i_hot_i,Guangfu,0.051,0.379,0.973
*-u-_light,w,*-u-_light_w,Guangfu,0.051,0.388,0.514
*m_hair_body,m,*m_hair_body_m,Guangfu,0.05,0.375,0.973
*m_horse,m,*m_horse_m,Guangfu,0.05,0.375,0.973
*i_to stand,ɐi,*i_to stand_ɐi,Guangfu,0.05,0.429,0.081
i_two,i,i_two_i,Guangfu,0.05,0.375,0.973
*i_four,i,*i_four_i,Guangfu,0.049,0.394,0.351
s_mouse/rat,s,s_mouse/rat_s,Guangfu,0.049,0.378,1
s_mountain,s,s_mountain_s,Guangfu,0.048,0.374,1
s_to kill,s,s_to kill_s,Guangfu,0.048,0.374,1
*-n_tomb,ŋ,*-n_tomb_ŋ,Guangfu,0.047,0.429,0.081
*-k_to eat,k,*-k_to eat_k,Guangfu,0.046,0.375,0.892
ɔ_I,ɔ,ɔ_I_ɔ,Guangfu,0.045,0.377,0.784
*-n_to see_lit,ŋ,*-n_to see_lit_ŋ,Guangfu,0.045,0.429,0.081
j_smoke,j,j_smoke_j,Guangfu,0.044,0.374,0.919
ui_ash,ui,ui_ash_ui,Guangfu,0.042,0.375,0.811
s_double,s,s_double_s,Guangfu,0.042,0.379,0.973
i_leaf,i,i_leaf_i,Guangfu,0.042,0.379,0.973
s_snake,s,s_snake_s,Guangfu,0.042,0.372,0.946
*-k_white,k,*-k_white_k,Guangfu,0.042,0.372,0.946
s_to eat,s,s_to eat_s,Guangfu,0.04,0.371,0.973
*k_horn,k,*k_horn_k,Guangfu,0.039,0.374,1
night_m,0,night_m_0,Guangfu,0.039,0.374,1
round_m,0,round_m_0,Guangfu,0.039,0.374,1
ash_m,0,ash_m_0,Guangfu,0.038,0.37,1
a_flower,a,a_flower_a,Guangfu,0.038,0.37,1
full_m,0,full_m_0,Guangfu,0.038,0.37,1
*a_horse,a,*a_horse_a,Guangfu,0.038,0.37,1
lice_m,0,lice_m_0,Guangfu,0.038,0.37,1
tsʰ_out,ʦʰ,tsʰ_out_ʦʰ,Guangfu,0.038,0.37,1
a_sand,a,a_sand_a,Guangfu,0.038,0.37,1
tsʰ_spring,ʦʰ,tsʰ_spring_ʦʰ,Guangfu,0.038,0.37,1
*a_three,a,*a_three_a,Guangfu,0.038,0.37,1
iu_to burn,iu,iu_to burn_iu,Guangfu,0.038,0.37,1
i_tooth2,i,i_tooth2_i,Guangfu,0.038,0.37,1
s_history,s,s_history_s,Guangfu,0.037,0.378,0.919
*ɿ_history,i,*ɿ_history_i,Guangfu,0.037,0.383,0.622
au_to bite,ɛu,au_to bite_ɛu,Guangfu,0.036,0.4,0.108
s_boat,s,s_boat_s,Guangfu,0.034,0.37,0.919
*-k_north,k,*-k_north_k,Guangfu,0.033,0.372,0.946
to sit_m,0,to sit_m_0,Guangfu,0.033,0.372,0.946
ɐ_together/to merge,ɔ,ɐ_together/to merge_ɔ,Guangfu,0.033,0.385,0.27
a_blue,a,a_blue_a,Guangfu,0.03,0.367,0.973
ou_good,u,ou_good_u,Guangfu,0.03,0.4,0.054
ou_hair_body,ɔ,ou_hair_body_ɔ,Guangfu,0.03,0.4,0.054
s_hand,s,s_hand_s,Guangfu,0.03,0.367,0.973
*-p_leaf,p,*-p_leaf_p,Guangfu,0.03,0.372,0.865
*-k_leg,k,*-k_leg_k,Guangfu,0.03,0.367,0.973
many_m,0,many_m_0,Guangfu,0.03,0.367,0.973
Spring_m,u,Spring_m_u,Guangfu,0.03,0.4,0.054
s_ten,s,s_ten_s,Guangfu,0.03,0.367,0.973
s_to burn,s,s_to burn_s,Guangfu,0.03,0.367,0.973
i_to fly,əi,i_to fly_əi,Guangfu,0.03,0.4,0.054
tsʰ_tooth2,ʦʰ,tsʰ_tooth2_ʦʰ,Guangfu,0.03,0.367,0.973
*ɲ_two,ŋ,*ɲ_two_ŋ,Guangfu,0.03,0.4,0.054
one_m,0,one_m_0,Guangfu,0.029,0.37,1
*a_summer,a,*a_summer_a,Guangfu,0.029,0.374,1
*-ŋ_breast,ŋ,*-ŋ_breast_ŋ,Guangfu,0.028,0.366,1
*-ŋ_light,ŋ,*-ŋ_light_ŋ,Guangfu,0.028,0.366,1
ŋ_long,ŋ,ŋ_long_ŋ,Guangfu,0.028,0.366,1
out_m,0,out_m_0,Guangfu,0.028,0.366,1
to drink_m,0,to drink_m_0,Guangfu,0.028,0.366,1
*-ŋ_to think,ŋ,*-ŋ_to think_ŋ,Guangfu,0.028,0.366,1
together_to merge_m,0,together_to merge_m_0,Guangfu,0.028,0.366,1
*i_ear,i,*i_ear_i,Guangfu,0.027,0.367,0.892
au_to bite,au,au_to bite_au,Guangfu,0.027,0.367,0.892
y_to go,oi,y_to go_oi,Guangfu,0.027,0.4,0.054
*i_four,ɐi,*i_four_ɐi,Guangfu,0.026,0.385,0.135
ou_hair_body,ɐu,ou_hair_body_ɐu,Guangfu,0.026,0.385,0.135
*i_tail,ɐi,*i_tail_ɐi,Guangfu,0.026,0.385,0.135
f_tomb,f,f_tomb_f,Guangfu,0.025,0.372,0.946
a_to kill,a,a_to kill_a,Guangfu,0.024,0.366,0.919
*-k_bird_col,k,*-k_bird_col_k,Guangfu,0.022,0.365,0.946
*-k_black,k,*-k_black_k,Guangfu,0.022,0.365,0.946
ɐ_black,a,ɐ_black_a,Guangfu,0.021,0.371,0.351
boat_m,0,boat_m_0,Guangfu,0.021,0.364,0.973
a_duck,a,a_duck_a,Guangfu,0.021,0.364,0.973
a_man,a,a_man_a,Guangfu,0.021,0.364,0.973
h_to go,h,h_to go_h,Guangfu,0.021,0.367,0.973
j_to swim,j,j_to swim_j,Guangfu,0.021,0.367,0.973
*a_tooth1,a,*a_tooth1_a,Guangfu,0.021,0.364,0.973
