Map,Variant,Feature,Dialect Group,PMI,nPMI,Exclusivity,Representativeness
*ɲ_fish,j,*ɲ_fish_j,3,-1.242,-0.185,0.024,0.167
œ_long,œ,œ_long_œ,3,-1.234,-0.185,0.025,0.167
round_m,0,round_m_0,3,-0.943,-0.185,0.03,0.5
œ_to think,œ,œ_to think_œ,3,-1.234,-0.185,0.025,0.167
*i_to stand,i,*i_to stand_i,3,-1.256,-0.188,0.024,0.167
j_rain,j,j_rain_j,3,-1.113,-0.195,0.027,0.333
*ɲ_sun,j,*ɲ_sun_j,3,-1.311,-0.196,0.023,0.167
*ɲ_meat,j,*ɲ_meat_j,3,-1.344,-0.201,0.023,0.167
ɐ_sun,ɐ,ɐ_sun_ɐ,3,-1.188,-0.208,0.025,0.333
ɐ_knee,ɐ,ɐ_knee_ɐ,3,-1.202,-0.211,0.025,0.333
j_feather,j,j_feather_j,3,-1.224,-0.215,0.025,0.333
j_round,j,j_round_j,3,-1.22,-0.215,0.025,0.333
ɐ_cloud,ɐ,ɐ_cloud_ɐ,3,-1.26,-0.221,0.024,0.333
ɐ_enter,ɐ,ɐ_enter_ɐ,3,-1.26,-0.221,0.024,0.333
j_leaf,j,j_leaf_j,3,-1.274,-0.224,0.024,0.333
*-u-_light,w,*-u-_light_w,3,-1.499,-0.224,0.02,0.167
ɐ_one,ɐ,ɐ_one_ɐ,3,-1.274,-0.224,0.024,0.333
ɐ_person,ɐ,ɐ_person_ɐ,3,-1.277,-0.224,0.024,0.333
*i_strange,i,*i_strange_i,3,-1.499,-0.224,0.02,0.167
ɐ_ten,ɐ,ɐ_ten_ɐ,3,-1.277,-0.224,0.024,0.333
ɐ_lice,ɐ,ɐ_lice_ɐ,3,-1.294,-0.227,0.024,0.333
ɐ_seven,ɐ,ɐ_seven_ɐ,3,-1.311,-0.23,0.023,0.333
ɐ_heart,ɐ,ɐ_heart_ɐ,3,-1.327,-0.233,0.023,0.333
bone_n,ɐ,bone_n_ɐ,3,-1.344,-0.236,0.023,0.333
ɐ_new,ɐ,ɐ_new_ɐ,3,-1.344,-0.236,0.023,0.333
*ɐ_root,ɐ,*ɐ_root_ɐ,3,-1.344,-0.236,0.023,0.333
j_one,j,j_one_j,3,-1.358,-0.239,0.023,0.333
ɐ_to drink,ɐ,ɐ_to drink_ɐ,3,-1.36,-0.239,0.022,0.333
j_smoke,j,j_smoke_j,3,-1.392,-0.244,0.022,0.333
j_night,j,j_night_j,3,-1.438,-0.253,0.022,0.333
I_m,0,I_m_0,3,-1.454,-0.255,0.021,0.333
to sit_m,0,to sit_m_0,3,-1.453,-0.256,0.021,0.333
many_m,0,many_m_0,3,-1.499,-0.263,0.02,0.333
j_to swim,j,j_to swim_j,3,-1.513,-0.266,0.02,0.333
night_m,0,night_m_0,3,-1.528,-0.269,0.02,0.333
ɐ_black,ɐ,ɐ_black_ɐ,3,-1.862,-0.278,0.016,0.167
*ŋ_cow,ŋ,*ŋ_cow_ŋ,3,-1.951,-0.291,0.015,0.167
ɛ_night,ɛ,ɛ_night_ɛ,3,-1.986,-0.297,0.015,0.167
ɛ_snake,ɛ,ɛ_snake_ɛ,3,-1.993,-0.297,0.014,0.167
ɐu_nine,ɐu,ɐu_nine_ɐu,3,-2.088,-0.312,0.014,0.167
ɐu_cow,ɐu,ɐu_cow_ɐu,3,-2.094,-0.313,0.014,0.167
ɐu_hand,ɐu,ɐu_hand_ɐu,3,-2.094,-0.313,0.014,0.167
ɐu_autumn,ɐu,ɐu_autumn_ɐu,3,-2.108,-0.315,0.014,0.167
ɐu_to swim,ɐu,ɐu_to swim_ɐu,3,-2.127,-0.318,0.013,0.167
ɐu_head,ɐu,ɐu_head_ɐu,3,-2.151,-0.321,0.013,0.167
ɐi_small_col,ɐi,ɐi_small_col_ɐi,3,-2.165,-0.324,0.013,0.167
*ŋ_to bite,ŋ,*ŋ_to bite_ŋ,3,-2.17,-0.324,0.013,0.167
ɐi_chicken,ɐi,ɐi_chicken_ɐi,3,-2.184,-0.327,0.013,0.167
ɐu_to walk,ɐu,ɐu_to walk_ɐu,3,-2.188,-0.327,0.013,0.167
*ŋ_tooth1,ŋ,*ŋ_tooth1_ŋ,3,-2.188,-0.327,0.013,0.167
ɐu_dog,ɐu,ɐu_dog_ɐu,3,-2.206,-0.329,0.013,0.167
*ŋ_eye,ŋ,*ŋ_eye_ŋ,3,-2.206,-0.329,0.013,0.167
ɐ_north,ɐ,ɐ_north_ɐ,3,-2.202,-0.329,0.013,0.167
ɐi_west,ɐi,ɐi_west_ɐi,3,-2.206,-0.329,0.013,0.167
ɐu_mouth,ɐu,ɐu_mouth_ɐu,3,-2.238,-0.335,0.012,0.167
*-t_knee,t,*-t_knee_t,3,-2.344,-0.35,0.011,0.167
fire_m,0,fire_m_0,3,-2.376,-0.355,0.011,0.167
*ŋ_I,ŋ,*ŋ_I_ŋ,3,-2.392,-0.357,0.011,0.167
*m_full,m,*m_full_m,3,-2.424,-0.362,0.011,0.167
*m_tail,m,*m_tail_m,3,-2.439,-0.364,0.011,0.167
*m_hair_body,m,*m_hair_body_m,3,-2.469,-0.368,0.01,0.167
*m_horse,m,*m_horse_m,3,-2.469,-0.368,0.01,0.167
