Map,Variant,Feature,Dialect Group,PMI,nPMI,Exclusivity,Representativeness
*-m_blue,m,*-m_blue_m,3,0.161,0.039,0.065,1
*x_breat,h,*x_breat_h,3,0.161,0.039,0.065,1
ɔ_I,ɔ,ɔ_I_ɔ,3,0.171,0.039,0.065,0.833
*k_leg,k,*k_leg_k,3,0.161,0.039,0.065,1
*-m_man,m,*-m_man_m,3,0.161,0.039,0.065,1
*-m_three,m,*-m_three_m,3,0.161,0.039,0.065,1
a_to kill,a,a_to kill_a,3,0.161,0.039,0.065,1
to speak_col_m,0,to speak_col_m_0,3,0.161,0.039,0.065,1
*ɣ_together/to merge,h,*ɣ_together/to merge_h,3,0.161,0.039,0.065,1
horn_m,0,horn_m_0,3,0.147,0.036,0.065,1
ɔ_to sit,ɔ,ɔ_to sit_ɔ,3,0.171,0.036,0.066,0.667
*-p_duck,p,*-p_duck_p,3,0.146,0.035,0.064,1
ts_pig,ʦ,ts_pig_ʦ,3,0.146,0.035,0.064,1
*-t_seven,t,*-t_seven_t,3,0.146,0.035,0.064,1
*u_skin2,u,*u_skin2_u,3,0.146,0.035,0.064,1
s_snake,s,s_snake_s,3,0.146,0.035,0.064,1
s_to sleep,s,s_to sleep_s,3,0.146,0.035,0.064,1
*-k_white,k,*-k_white_k,3,0.146,0.035,0.064,1
ai_big,ai,ai_big_ai,3,0.131,0.032,0.063,1
*-t_bone,t,*-t_bone_t,3,0.131,0.032,0.063,1
*-p_enter,p,*-p_enter_p,3,0.131,0.032,0.063,1
*-n_liver,n,*-n_liver_n,3,0.131,0.032,0.063,1
*-k_north,k,*-k_north_k,3,0.132,0.032,0.064,1
*-t_out,t,*-t_out_t,3,0.131,0.032,0.063,1
s_stone,s,s_stone_s,3,0.131,0.032,0.063,1
*-p_ten,p,*-p_ten_p,3,0.131,0.032,0.063,1
*-p_together/to merge,p,*-p_together/to merge_p,3,0.131,0.032,0.063,1
s_water,s,s_water_s,3,0.132,0.032,0.064,1
white_m,0,white_m_0,3,0.131,0.032,0.063,1
*-t_one,t,*-t_one_t,3,0.117,0.029,0.063,1
*-n_to see_lit,n,*-n_to see_lit_n,3,0.119,0.029,0.065,1
f_tomb,f,f_tomb_f,3,0.118,0.029,0.064,1
*-k_bird_col,k,*-k_bird_col_k,3,0.115,0.028,0.062,1
*-k_black,k,*-k_black_k,3,0.115,0.028,0.062,1
*-n_dry,n,*-n_dry_n,3,0.115,0.028,0.062,1
a_hair_head,a,a_hair_head_a,3,0.115,0.028,0.062,1
*u_lake,u,*u_lake_u,3,0.115,0.028,0.062,1
*-t_lice,t,*-t_lice_t,3,0.115,0.028,0.062,1
*-n_root,n,*-n_root_n,3,0.115,0.028,0.062,1
*-t_sun,t,*-t_sun_t,3,0.115,0.028,0.062,1
*g_tool,k,*g_tool_k,3,0.115,0.028,0.062,1
œ_double,o,œ_double_o,3,0.181,0.027,0.067,0.167
h_to see_lit,h,h_to see_lit_h,3,0.104,0.026,0.064,1
*-n_cloud,n,*-n_cloud_n,3,0.101,0.025,0.062,1
s_double,s,s_double_s,3,0.103,0.025,0.063,1
*-m_heart,m,*-m_heart_m,3,0.101,0.025,0.062,1
*-k_horn,k,*-k_horn_k,3,0.102,0.025,0.062,1
s_lice,s,s_lice_s,3,0.101,0.025,0.062,1
*-n_new,n,*-n_new_n,3,0.101,0.025,0.062,1
nine_m,0,nine_m_0,3,0.102,0.025,0.062,1
*-n_person,n,*-n_person_n,3,0.101,0.025,0.062,1
*-m_to drink,m,*-m_to drink_m,3,0.101,0.025,0.062,1
s_to eat,s,s_to eat_s,3,0.101,0.025,0.062,1
*-n_tomb,n,*-n_tomb_n,3,0.103,0.025,0.063,1
a_blue,a,a_blue_a,3,0.086,0.021,0.061,1
breast_m,0,breast_m_0,3,0.086,0.021,0.061,1
five_c,0,five_c_0,3,0.086,0.021,0.061,1
*-n_full,n,*-n_full_n,3,0.086,0.021,0.061,1
s_hand,s,s_hand_s,3,0.086,0.021,0.061,1
*-k_leg,k,*-k_leg_k,3,0.086,0.021,0.061,1
s_sand,s,s_sand_s,3,0.086,0.021,0.061,1
Spring_m,0,Spring_m_0,3,0.086,0.021,0.061,1
*-n_spring,n,*-n_spring_n,3,0.086,0.021,0.061,1
s_ten,s,s_ten_s,3,0.086,0.021,0.061,1
s_to burn,s,s_to burn_s,3,0.086,0.021,0.061,1
*k_to speak_col,k,*k_to speak_col_k,3,0.086,0.021,0.061,1
ts_fat,ʦ,ts_fat_ʦ,3,0.073,0.018,0.062,1
s_mouse/rat,s,s_mouse/rat_s,3,0.072,0.018,0.061,1
h_to go,h,h_to go_h,3,0.072,0.018,0.061,1
a_duck,a,a_duck_a,3,0.071,0.017,0.061,1
*-t_hot,t,*-t_hot_t,3,0.071,0.017,0.061,1
a_man,a,a_man_a,3,0.071,0.017,0.061,1
s_mountain,s,s_mountain_s,3,0.071,0.017,0.061,1
s_to kill,s,s_to kill_s,3,0.071,0.017,0.061,1
*a_tooth1,a,*a_tooth1_a,3,0.071,0.017,0.061,1
ɔ_yellow,o,ɔ_yellow_o,3,0.115,0.017,0.062,0.167
double_m,0,double_m_0,3,0.07,0.016,0.062,0.833
*-t_blood,t,*-t_blood_t,3,0.057,0.014,0.06,1
a_flower,a,a_flower_a,3,0.057,0.014,0.06,1
f_hair_head,f,f_hair_head_f,3,0.057,0.014,0.06,1
*k_horn,k,*k_horn_k,3,0.057,0.014,0.061,1
*a_horse,a,*a_horse_a,3,0.057,0.014,0.06,1
a_sand,a,a_sand_a,3,0.057,0.014,0.06,1
*a_three,a,*a_three_a,3,0.057,0.014,0.06,1
*-n_to see_col,n,*-n_to see_col_n,3,0.057,0.014,0.06,1
i_tooth2,i,i_tooth2_i,3,0.057,0.014,0.06,1
*i_skin1,i,*i_skin1_i,3,0.071,0.012,0.061,0.333
*i_fat,i,*i_fat_i,3,0.043,0.011,0.061,1
*a_summer,a,*a_summer_a,3,0.043,0.011,0.061,1
*u_abdomen,ou,*u_abdomen_ou,3,0.057,0.01,0.061,0.333
*-n_all,n,*-n_all_n,3,0.042,0.01,0.059,1
*x_black,h,*x_black_h,3,0.042,0.01,0.059,1
*-ŋ_breast,ŋ,*-ŋ_breast_ŋ,3,0.042,0.01,0.059,1
*-k_green,k,*-k_green_k,3,0.042,0.01,0.059,1
*-ŋ_light,ŋ,*-ŋ_light_ŋ,3,0.042,0.01,0.059,1
ŋ_long,ŋ,ŋ_long_ŋ,3,0.042,0.01,0.059,1
*-t_moon,t,*-t_moon_t,3,0.042,0.01,0.059,1
*kʰ_mouth,h,*kʰ_mouth_h,3,0.043,0.01,0.06,1
out_m,0,out_m_0,3,0.042,0.01,0.059,1
*k_root,k,*k_root_k,3,0.042,0.01,0.059,1
*-n_round,n,*-n_round_n,3,0.043,0.01,0.06,1
*-n_smoke,n,*-n_smoke_n,3,0.042,0.01,0.059,1
*-ŋ_to think,ŋ,*-ŋ_to think_ŋ,3,0.042,0.01,0.059,1
together_to merge_m,0,together_to merge_m_0,3,0.042,0.01,0.059,1
village_m,0,village_m_0,3,0.042,0.01,0.059,1
*-n_village,n,*-n_village_n,3,0.042,0.01,0.059,1
yellow_m,0,yellow_m_0,3,0.042,0.01,0.059,1
*-ŋ_yellow,ŋ,*-ŋ_yellow_ŋ,3,0.042,0.01,0.059,1
*l_blue,l,*l_blue_l,3,0.028,0.007,0.059,1
*-n_boat,n,*-n_boat_n,3,0.028,0.007,0.059,1
claws_m,0,claws_m_0,3,0.028,0.007,0.059,1
*-ŋ_double,ŋ,*-ŋ_double_ŋ,3,0.029,0.007,0.06,1
*x_good,h,*x_good_h,3,0.028,0.007,0.059,1
*l_green,l,*l_green_l,3,0.028,0.007,0.059,1
green_m,0,green_m_0,3,0.028,0.007,0.059,1
*-k_meat,k,*-k_meat_k,3,0.028,0.007,0.059,1
six_m,0,six_m_0,3,0.028,0.007,0.059,1
*-k_six,k,*-k_six_k,3,0.028,0.007,0.059,1
f_skin2,f,f_skin2_f,3,0.028,0.007,0.059,1
*-ŋ_to speak_col,ŋ,*-ŋ_to speak_col_ŋ,3,0.028,0.007,0.059,1
tomb_m,0,tomb_m_0,3,0.029,0.007,0.06,1
*u_soil_earth,ou,*u_soil_earth_ou,3,0.028,0.005,0.059,0.333
